id,gender,military_time,age,location_danger
1,Male,10:25,43,2.51
2,Female,13:23,78,3.17
3,Male,10:42,48,1.2
4,Female,16:48,100,0.17
5,Male,10:19,78,0.27
6,Male,9:13,43,0.59
7,Male,17:11,37,1.84
8,Female,13:41,86,1.41
9,Male,20:31,94,2.86
10,Male,14:31,96,3.57
11,Female,10:52,19,2.68
12,Male,5:53,21,2.71
13,Female,15:31,35,0.46
14,Male,15:38,66,4.7
15,Female,7:31,90,4.42
16,Male,20:48,31,3.09
17,Female,1:44,22,2.32
18,Female,16:48,32,2.63
19,Female,6:31,10,1.06
20,Female,12:31,88,0.79
21,Male,5:00,90,4.76
22,Male,9:41,79,1.35
23,Female,0:40,58,1.94
24,Male,22:39,67,0.49
25,Male,22:56,33,4.95
26,Female,14:05,69,2.02
27,Male,22:42,48,4.08
28,Female,14:56,84,2.66
29,Male,0:11,30,3.23
30,Male,16:49,38,4.61
31,Male,18:29,94,1.28
32,Female,23:17,44,1.59
33,Female,21:07,51,4.68
34,Male,5:21,98,1.8
35,Male,18:35,95,0.99
36,Male,5:17,62,3.8
37,Male,3:44,32,4.21
38,Male,2:58,88,2.69
39,Female,9:02,23,2.7
40,Female,5:24,49,1.43
41,Male,10:20,23,0.5
42,Female,2:13,69,4.8
43,Female,13:20,94,0.96
44,Male,13:21,50,2.58
45,Female,1:03,30,2.09
46,Male,16:56,83,3.31
47,Female,22:10,85,3.45
48,Female,0:05,12,2.57
49,Female,19:27,90,1.16
50,Female,23:29,55,1.56
51,Female,0:45,62,2.01
52,Male,13:24,36,1.53
53,Male,2:03,91,1.43
54,Female,20:15,61,4.0
55,Male,16:06,91,0.38
56,Female,14:52,36,4.52
57,Male,2:25,28,2.77
58,Female,10:40,14,0.71
59,Male,12:58,34,2.38
60,Female,17:11,27,0.04
61,Female,6:52,27,2.61
62,Female,21:37,40,1.27
63,Male,11:29,26,0.76
64,Male,12:46,83,1.41
65,Female,8:19,55,2.41
66,Female,0:06,14,3.32
67,Male,23:28,82,1.66
68,Female,14:37,97,4.61
69,Female,6:01,74,3.52
70,Female,9:13,51,4.74
71,Female,0:48,30,0.71
72,Male,22:37,76,4.3
73,Female,4:49,57,0.41
74,Female,18:26,32,3.95
75,Female,9:25,42,0.87
76,Male,16:41,67,4.24
77,Male,15:43,47,3.06
78,Male,3:56,44,0.57
79,Female,3:56,69,2.55
80,Male,19:31,16,1.71
81,Male,16:43,96,3.36
82,Male,12:05,53,3.81
83,Male,9:04,52,1.06
84,Male,19:37,85,2.16
85,Male,0:13,46,2.18
86,Female,13:15,12,0.02
87,Male,10:32,30,3.48
88,Female,3:47,20,1.16
89,Male,1:52,24,3.56
90,Male,23:49,86,0.02
91,Female,12:10,93,0.05
92,Male,22:36,29,0.05
93,Female,8:03,12,3.59
94,Female,15:56,75,1.07
95,Male,15:02,10,4.42
96,Male,7:40,64,2.27
97,Female,1:13,54,3.6
98,Female,20:11,29,1.87
99,Female,11:06,71,3.08
100,Female,18:20,78,0.24
101,Male,11:01,66,3.39
102,Female,23:28,92,0.73
103,Female,3:45,90,1.68
104,Female,14:16,41,0.15
105,Female,4:24,35,1.79
106,Female,1:46,41,2.04
107,Male,9:15,85,3.81
108,Male,9:52,25,4.5
109,Female,12:10,34,3.05
110,Male,11:52,48,0.92
111,Female,7:19,75,3.82
112,Female,20:37,74,2.39
113,Female,19:01,34,2.39
114,Male,6:22,73,4.92
115,Male,5:11,29,0.12
116,Male,23:37,85,1.15
117,Female,22:17,63,4.64
118,Male,23:43,76,4.08
119,Male,17:40,72,3.01
120,Male,15:24,20,0.38
121,Female,1:32,68,4.56
122,Female,13:24,45,3.36
123,Male,22:38,100,4.13
124,Male,0:41,96,2.27
125,Male,5:45,18,0.52
126,Male,11:38,29,1.43
127,Female,4:23,15,1.29
128,Female,19:47,50,3.15
129,Male,1:48,35,3.57
130,Male,4:05,98,1.74
131,Female,4:09,13,0.05
132,Female,15:43,20,4.64
133,Female,4:11,24,2.74
134,Male,17:26,73,4.16
135,Female,17:06,47,4.22
136,Male,9:55,16,4.18
137,Male,10:03,45,0.24
138,Female,22:59,27,4.96
139,Female,2:20,53,4.91
140,Female,14:35,16,2.27
141,Male,9:27,24,3.55
142,Female,13:07,65,1.15
143,Male,4:08,61,3.28
144,Male,3:20,97,4.2
145,Female,19:06,76,3.02
146,Male,10:05,25,3.23
147,Male,9:34,19,3.59
148,Female,19:32,25,2.9
149,Male,18:28,61,1.3
150,Male,5:57,89,4.94
151,Male,19:27,11,2.66
152,Male,15:28,21,4.46
153,Female,15:34,36,1.91
154,Male,7:41,46,1.16
155,Male,20:37,11,3.42
156,Female,12:00,11,3.55
157,Female,4:42,52,3.28
158,Male,14:49,15,0.04
159,Female,11:04,99,4.89
160,Female,18:51,61,4.85
161,Female,14:18,77,1.27
162,Female,0:30,50,4.33
163,Female,14:11,18,2.55
164,Male,6:23,38,1.07
165,Female,8:26,51,3.0
166,Male,9:13,98,2.17
167,Male,0:34,63,1.0
168,Female,14:59,17,2.94
169,Male,7:54,59,3.21
170,Female,14:26,33,2.17
171,Female,6:30,84,1.28
172,Female,16:14,79,2.6
173,Male,15:52,55,1.29
174,Male,6:58,54,4.25
175,Female,19:08,56,4.21
176,Male,10:36,98,4.62
177,Female,14:45,44,2.51
178,Female,0:52,52,2.15
179,Female,0:15,70,2.51
180,Female,11:51,59,3.48
181,Female,10:31,93,3.44
182,Female,19:23,18,2.37
183,Male,20:07,67,0.33
184,Male,6:59,19,1.61
185,Female,22:30,91,2.43
186,Male,22:01,29,1.42
187,Female,18:24,40,4.73
188,Male,18:24,14,1.56
189,Female,23:32,29,2.47
190,Female,14:19,83,4.4
191,Female,3:15,41,2.17
192,Male,10:02,84,0.44
193,Male,5:01,69,0.07
194,Male,18:00,63,0.15
195,Female,21:51,55,0.38
196,Female,4:51,95,3.93
197,Male,0:46,83,2.45
198,Male,20:25,100,3.45
199,Male,16:12,93,1.03
200,Female,6:55,22,3.9
201,Female,21:25,51,4.22
202,Male,0:08,95,3.58
203,Female,0:12,77,4.52
204,Male,9:47,96,4.43
205,Female,15:54,72,4.4
206,Female,7:39,67,3.73
207,Female,7:45,40,4.0
208,Male,13:05,68,4.44
209,Male,12:07,73,3.32
210,Female,9:56,61,0.74
211,Female,8:29,17,4.59
212,Female,19:12,62,2.93
213,Male,9:49,98,2.3
214,Male,8:30,49,0.74
215,Female,17:03,25,3.4
216,Male,15:16,42,3.22
217,Female,9:37,93,0.72
218,Male,13:40,56,3.63
219,Male,21:25,41,1.72
220,Male,8:33,22,4.09
221,Female,0:35,13,2.54
222,Male,2:00,94,3.81
223,Female,1:12,40,1.25
224,Female,11:41,84,4.61
225,Male,0:08,53,4.58
226,Male,1:29,84,1.57
227,Female,6:22,25,4.83
228,Male,21:42,85,3.35
229,Male,14:28,47,3.15
230,Female,11:55,82,0.05
231,Male,19:27,75,4.23
232,Female,14:31,48,1.13
233,Female,18:43,66,1.19
234,Male,22:29,22,3.45
235,Male,19:08,72,0.01
236,Female,14:57,90,3.54
237,Female,21:50,89,3.9
238,Female,23:31,38,1.24
239,Female,5:49,58,4.4
240,Female,23:22,24,2.2
241,Male,21:39,31,3.91
242,Male,20:40,12,4.93
243,Female,12:33,60,0.54
244,Male,0:57,93,0.37
245,Female,7:20,55,3.51
246,Female,16:19,96,1.76
247,Female,22:31,86,1.86
248,Male,20:40,41,4.03
249,Female,11:02,75,3.55
250,Male,9:08,67,0.93
251,Male,20:14,89,4.66
252,Female,14:37,22,1.0
253,Male,18:26,58,0.65
254,Male,9:00,62,1.12
255,Female,16:47,66,4.59
256,Female,7:22,63,4.05
257,Female,3:01,88,3.25
258,Male,1:54,90,3.8
259,Male,10:29,49,4.33
260,Male,11:00,49,2.47
261,Male,20:54,94,0.34
262,Female,9:55,80,1.71
263,Male,10:25,28,0.02
264,Male,13:34,67,3.21
265,Female,21:15,37,0.49
266,Male,16:21,39,1.45
267,Female,21:49,77,1.88
268,Female,11:53,34,3.77
269,Female,15:27,89,2.64
270,Male,8:57,100,4.3
271,Male,10:21,97,0.65
272,Male,8:20,86,4.46
273,Female,15:18,88,2.58
274,Female,23:57,41,0.88
275,Female,13:15,75,4.5
276,Male,15:36,18,4.91
277,Female,5:05,78,2.72
278,Male,21:20,22,0.63
279,Male,1:42,13,3.61
280,Male,6:26,79,4.64
281,Male,15:19,64,0.68
282,Male,16:40,29,1.93
283,Female,6:31,86,1.91
284,Female,21:29,94,4.26
285,Female,20:27,54,2.3
286,Female,4:40,12,0.67
287,Female,21:28,98,3.11
288,Male,0:53,19,0.13
289,Male,8:07,53,2.57
290,Male,11:49,73,0.95
291,Female,2:55,15,0.8
292,Male,7:45,67,2.49
293,Female,17:59,61,3.86
294,Male,14:08,81,3.95
295,Female,20:39,40,2.34
296,Male,8:33,85,3.36
297,Male,23:07,78,2.14
298,Female,5:42,12,4.79
299,Male,2:41,35,2.74
300,Female,0:54,18,4.98
301,Female,5:00,45,1.4
302,Male,16:10,63,2.18
303,Male,6:15,20,0.73
304,Male,1:29,28,0.63
305,Female,17:56,20,2.15
306,Female,10:43,32,4.04
307,Female,23:53,37,3.94
308,Male,18:16,61,4.78
309,Female,22:06,39,1.97
310,Female,18:54,28,0.06
311,Male,13:47,68,3.02
312,Female,10:18,55,1.75
313,Female,7:32,89,4.3
314,Male,0:38,53,1.97
315,Male,2:39,52,4.32
316,Male,13:33,17,0.42
317,Male,4:56,57,2.94
318,Female,22:39,49,2.12
319,Male,9:18,21,1.73
320,Female,6:01,31,4.89
321,Male,3:03,81,0.98
322,Female,13:09,54,4.99
323,Male,22:06,21,1.85
324,Male,23:58,89,0.73
325,Male,4:16,18,4.85
326,Female,3:28,51,0.75
327,Male,5:20,88,4.1
328,Female,14:53,22,3.34
329,Female,18:12,56,1.0
330,Female,5:26,25,1.7
331,Male,19:31,14,2.15
332,Female,1:43,87,0.42
333,Male,1:53,35,4.94
334,Female,19:01,72,4.1
335,Female,16:25,43,4.31
