id,gender,military_time,age,latitude,longitude
1,Male,12:23,45,-7.0631844,107.7843483
2,Male,1:19,56,38.365641,-7.4731029
3,Male,1:19,35,39.1822152,-84.4225186
4,Male,16:24,68,37.005017,114.683863
5,Female,21:48,90,53.5567847,8.5929499
6,Male,19:59,82,46.6473105,0.813275
7,Male,20:18,67,59.2889777,18.3689021
8,Female,5:57,53,28.54,-81.38
9,Male,20:20,10,38.7188171,-9.4194921
10,Male,2:38,15,50.2759698,19.5946634
11,Male,0:30,58,-0.3688967,35.286286
12,Female,10:08,13,45.3567755,19.6173117
13,Male,6:57,85,51.43341,-114.03528
14,Male,20:56,68,0.5772758,31.5370003
15,Female,17:43,68,31.437058,119.975172
16,Male,17:54,86,31.031933,119.659553
17,Female,5:30,34,-6.4772202,108.3198722
18,Male,0:13,58,32.78,-96.8
19,Male,6:19,59,7.6949299,18.6264694
20,Female,8:28,71,-10.6818,123.3537
21,Female,7:16,79,35.4399,48.0736
22,Female,21:30,78,27.0522919,89.5756987
23,Male,0:15,62,-27.9715033,27.0319884
24,Female,6:48,65,14.7596318,121.0589081
25,Female,9:42,58,55.5039231,46.3984938
26,Male,23:19,76,49.297491,125.217735
27,Female,13:37,56,36.5052612,-6.2761016
28,Female,20:10,81,10.149672,123.279336
29,Male,16:37,67,53.778695,73.8784471
30,Female,21:48,24,51.9922595,17.8705418
31,Female,4:54,96,-20.2973067,57.496673
32,Male,17:20,82,-20.9400441,-48.4812248
33,Male,15:16,53,-6.669221,106.0463837
34,Female,16:15,100,6.474867,-72.970517
35,Male,3:29,63,-8.8229,121.053
36,Male,0:28,82,13.302428,123.4403955
37,Male,9:56,23,-28.4866323,-59.3540025
38,Female,19:05,27,58.284686,12.3260336
39,Female,21:35,84,-7.0872117,110.9134113
40,Female,1:57,15,57.2900329,13.5137081
41,Male,9:00,27,-6.588201,106.804564
42,Female,10:07,85,32.874735,117.531622
43,Male,13:21,56,-34.6761,-58.5404623
44,Male,11:15,23,35.9247112,139.7667822
45,Male,23:11,35,38.8066531,-9.3199202
46,Male,17:51,72,35.5955313,36.0322459
47,Female,12:59,77,43.4945737,5.8978018
48,Male,6:47,88,35.708631,114.617827
49,Female,8:51,42,40.6307451,-74.1181234
50,Female,10:52,23,11.0002604,122.740723
51,Female,15:36,30,-22.7575561,-42.1343805
52,Male,8:31,57,24.497798,112.29102
53,Female,23:13,32,29.978663,111.782745
54,Female,5:25,49,-22.787936,-50.2199938
55,Male,16:16,47,50.0637682,29.9049684
56,Female,7:48,44,-7.6095457,110.9655659
57,Male,7:00,50,42.9203458,21.7421911
58,Male,23:17,16,58.7542973,16.8555169
59,Male,17:48,28,50.1206081,16.4894818
60,Female,23:54,56,45.0806751,7.6873152
61,Male,14:35,38,63.593219,53.9068532
62,Female,23:51,99,52.6244001,20.3835279
63,Female,16:44,22,47.66389,36.25633
64,Female,10:49,22,19.379122,-99.1097687
65,Female,22:30,44,14.93278,47.02763
66,Female,19:50,55,-7.7911198,-79.2197376
67,Female,8:46,94,31.2367474,121.5221244
68,Female,10:19,44,30.640814,93.232528
69,Male,12:32,98,-8.6186415,115.1831787
70,Male,17:48,33,34.542308,118.752842
71,Female,6:41,51,36.8665367,10.1647233
72,Male,14:22,91,49.9112092,16.7105196
73,Male,2:58,66,-8.6028125,121.8135556
74,Female,6:29,58,43.1118267,17.7054838
75,Male,2:32,100,1.1016277,33.9303991
76,Female,11:15,44,-20.7736517,-49.7107263
77,Male,20:20,71,1.4403744,125.1216524
78,Male,3:50,47,9.8411782,123.9121342
79,Female,3:49,31,14.4713275,120.8889291
80,Female,2:37,58,49.7517708,17.919916
81,Female,10:23,66,8.8928524,11.3771496
82,Female,5:19,34,35.8515197,136.1957329
83,Male,5:39,58,29.276219,90.081241
84,Female,10:23,26,34.007974,119.839212
85,Male,12:42,20,51.2757594,17.8095674
86,Female,17:40,53,40.2240899,-7.6500513
87,Male,18:42,53,62.2245877,40.2634504
88,Female,16:59,44,58.703557,14.1362521
89,Male,16:28,43,52.1466159,23.3386501
90,Male,17:03,24,-8.68633,118.0771515
91,Male,4:55,76,16.7445704,100.1367166
92,Female,14:37,14,-27.1677239,-65.4969437
93,Female,6:58,20,-7.6095457,110.9655659
94,Male,10:50,79,44.8657158,16.8537839
95,Male,10:38,40,38.3540386,23.2037131
96,Male,11:55,31,-8.8598312,121.193945
97,Male,0:38,12,25.566821,-103.4295033
98,Male,20:00,43,51.8911132,31.5958532
99,Male,15:11,91,23.5958633,120.2858846
100,Male,19:55,32,-7.4704747,112.4401329
101,Male,5:36,59,29.5079723,71.2430776
102,Male,6:20,29,48.968713,117.773198
103,Male,10:44,28,38.070311,114.411459
104,Male,2:23,29,31.210297,96.600578
105,Female,12:22,34,39.079722,117.17443
106,Female,0:45,99,46.823629,-0.4928359
107,Male,18:21,40,30.115083,102.810415
108,Female,15:36,55,3.0100681,101.5326734
109,Male,17:41,56,39.6507816,-8.5452616
110,Male,13:01,57,10.6135398,-66.8498883
111,Male,3:29,93,-19.1694375,46.7405959
112,Female,8:55,23,19.1284443,41.9246083
113,Male,5:28,90,16.5836127,42.9149297
114,Female,11:01,55,32.244032,35.064616
115,Female,17:24,85,44.2561511,-76.9549695
116,Male,2:32,68,-6.201062,106.5746124
117,Male,18:41,81,-22.8340652,-42.0205561
118,Male,22:35,70,10.6936663,122.5655726
119,Female,15:02,75,-23.8158392,-45.3664809
120,Male,18:33,70,39.2671237,-84.5195974
121,Female,23:07,35,39.7665139,-89.6100521
122,Male,3:31,59,35.287727,111.692186
123,Male,7:49,61,31.830035,115.388966
124,Male,21:20,17,-34.7682125,-58.3613645
125,Male,8:00,41,-34.6558079,-58.3734773
126,Female,13:09,33,-9.8529,124.2342
127,Female,12:21,58,50.401499,20.1667579
128,Female,12:50,77,29.693316,120.167774
129,Male,15:11,100,43.5370504,24.7458579
130,Female,5:51,45,7.554461,-11.693428
131,Male,2:47,40,-7.1610471,111.5975081
132,Female,4:45,61,55.5376879,42.0791342
133,Female,21:00,95,38.2020764,140.0905156
134,Female,22:23,94,28.705864,109.276796
135,Female,22:20,91,-7.7188383,108.024301
136,Female,22:48,27,27.754532,112.723615
137,Male,18:41,10,54.7117997,27.2897849
138,Male,14:30,68,-6.9661799,112.3561297
139,Female,10:56,99,41.9432941,20.9481376
140,Female,22:32,80,28.445007,102.639837
141,Female,20:18,96,59.3156702,18.0942083
142,Female,8:39,67,31.827364,119.9690478
143,Female,3:23,57,10.2183336,2.6660901
144,Female,5:25,55,29.4315861,106.912251
145,Female,19:21,13,21.0345812,106.3265126
146,Female,4:08,51,38.7188171,-9.4194921
147,Female,2:57,92,-22.7485717,-46.8931368
148,Male,23:50,19,8.1642301,99.6756794
149,Female,6:39,85,-6.8845063,112.256285
150,Female,15:55,95,41.87507,21.87599
151,Male,19:38,55,30.7292723,31.7977797
152,Female,23:10,24,43.7616313,-79.5209994
153,Female,18:02,27,-10.9564306,-76.933337
154,Male,10:51,17,53.66583,91.53639
155,Female,1:55,69,59.811981,17.6188276
156,Female,11:24,81,-12.9018025,15.2458111
157,Female,21:41,49,49.2686175,-122.9364381
158,Male,6:09,97,33.8597337,134.6589917
159,Female,2:11,75,13.6741713,100.608395
160,Female,22:22,39,-6.8264662,106.6400362
161,Female,16:01,25,-29.1556093,-51.1787796
162,Female,14:49,86,36.373345,100.103317
163,Male,21:39,66,-6.2829488,107.0833701
164,Male,10:46,21,35.3085456,25.5207204
165,Male,3:20,79,14.7596318,121.0589081
166,Female,4:47,19,31.52057,34.97442
167,Female,10:59,81,9.4693943,99.9688636
168,Male,0:38,61,16.2426241,101.9348069
169,Male,0:48,67,28.2410098,33.6229813
170,Male,16:34,83,30.02598,111.850777
171,Female,8:14,12,56.8521006,14.8183366
172,Male,16:51,28,32.0631839,-102.0375564
173,Female,17:55,63,34.101082,131.3917159
174,Male,19:31,17,-38.5084312,-72.4541343
175,Male,14:37,94,-32.9576242,-68.7400523
176,Male,17:38,47,-7.5202294,108.8432655
177,Female,2:07,67,40.5630764,45.2368557
178,Female,5:33,93,14.1163511,121.2225723
179,Female,3:07,50,37.28333,21.81667
180,Male,21:03,28,33.323763,117.906025
181,Male,3:16,69,49.039076,2.074954
182,Male,2:48,93,-21.7112092,165.8299327
183,Male,10:55,65,29.4315861,106.912251
184,Female,21:11,73,50.78342,-112.46854
185,Male,19:47,90,45.33697,131.011304
186,Male,8:21,61,45.5734042,-73.7316825
187,Male,14:43,46,-8.5039043,115.0258394
188,Female,6:35,14,29.285314,110.338222
189,Female,7:24,35,11.0616941,125.0161819
190,Female,3:52,66,-9.798194,124.4364621
191,Female,8:11,83,56.0462575,12.730766
192,Male,3:04,30,53.5900195,9.9897946
193,Male,2:22,17,52.6934663,22.0269962
194,Female,10:22,13,-6.7279241,111.3396498
195,Male,7:15,73,35.3372599,139.4046734
196,Female,14:57,98,51.3895069,22.1851171
197,Male,2:17,44,38.0249,22.73294
198,Female,10:59,86,16.3317796,-96.5943562
199,Female,23:15,59,20.0844095,105.3760604
200,Male,1:42,63,-9.8798746,124.6358702
201,Female,17:36,67,14.92653,45.507141
202,Male,6:50,88,33.6328198,35.7819158
203,Female,1:08,28,13.0058731,5.2475518
204,Male,10:12,52,50.8866749,21.2296066
205,Male,15:53,82,49.3389251,17.9938523
206,Male,11:21,100,22.6188131,-83.7066289
207,Female,12:20,66,36.1364291,139.3741999
208,Female,7:33,28,-5.1291727,-67.1894488
209,Male,0:10,91,8.972681,125.408732
210,Male,16:44,98,59.9191279,11.369756
211,Female,9:56,32,41.28168,21.3615
212,Female,14:49,47,35.03566,37.475109
213,Male,4:47,37,5.1677581,-52.6449937
214,Female,22:09,99,28.435584,116.483259
215,Male,13:34,64,60.1128845,22.9535316
216,Female,14:21,41,29.1520649,120.3168231
217,Male,21:45,31,44.275895,123.9674831
218,Male,18:46,80,50.3339731,26.6500845
219,Male,12:57,67,51.5350444,46.0081774
220,Female,19:42,68,-17.4850319,16.3287199
221,Female,9:40,49,54.5017232,17.2685316
222,Female,20:14,58,24.117102,117.613808
223,Female,13:20,41,4.9237913,-52.3205637
224,Female,20:06,93,34.92715,36.12323
225,Female,4:40,17,41.5654743,-8.408069
226,Female,16:46,81,39.266576,77.597552
227,Male,15:35,41,30.820143,106.06886
228,Female,21:27,91,47.9644609,106.8254167
229,Male,15:54,87,39.9346079,119.4508351
230,Female,14:38,84,-7.1194958,-34.8450118
231,Female,4:28,63,5.7866228,-6.5890166
232,Female,0:58,30,43.7212584,21.4436651
233,Female,13:55,61,3.7187884,103.1357512
234,Female,12:51,96,9.915551,-84.031286
235,Female,11:31,33,53.6447228,10.0383761
236,Female,1:47,29,34.4911201,62.6031004
237,Female,0:04,34,40.7247141,-8.5543395
238,Female,9:09,92,-34.6317414,-58.8651373
239,Male,16:25,48,40.73192,72.76177
240,Male,9:13,60,31.364902,108.249509
241,Female,7:03,31,56.673312,22.574388
242,Female,22:03,87,-6.8958354,107.6039392
243,Male,10:20,67,30.453667,114.872199
244,Female,23:41,51,-7.1617465,-78.5127855
245,Female,10:07,47,48.1875683,17.0216706
246,Female,4:41,49,-6.9727564,107.8243267
247,Female,6:42,58,54.0541924,17.5871593
248,Female,19:36,100,50.0384685,22.0969371
249,Male,1:40,47,26.4068381,-80.1058665
250,Male,19:44,69,14.5694485,121.1877062
251,Female,0:20,33,49.8575338,18.1508117
252,Male,10:13,53,-22.5506487,-48.5787728
253,Male,3:52,18,28.246367,109.169053
254,Male,16:28,96,13.9619203,100.5461093
255,Male,6:11,86,40.4581279,49.9843941
256,Male,19:12,27,-3.1456879,-60.257396
257,Male,8:42,40,16.8991985,121.7075195
258,Female,10:17,98,49.553517,25.594767
259,Male,4:21,37,46.9063815,102.7636515
260,Male,12:21,60,-11.1816506,-40.5120603
261,Male,19:07,52,19.2586779,-99.1075731
262,Male,15:55,40,60.0209443,44.9318159
263,Male,4:39,80,6.8072494,29.6788877
264,Male,3:19,51,-8.7067624,121.067907
265,Male,3:59,84,33.92692,116.475691
266,Male,15:40,62,-24.912902,-65.640294
267,Female,22:26,50,36.8277257,22.7760837
268,Female,10:38,44,40.117938,116.424619
269,Female,11:48,72,51.167963,19.4883692
270,Male,2:48,34,17.9894712,103.2894368
271,Female,21:21,53,55.644766,37.752831
272,Female,15:24,41,-12.7732,-38.7891606
273,Female,7:54,15,26.3358903,127.875104
274,Male,13:37,58,25.710538,116.754472
275,Male,11:48,56,-7.8169756,111.9790773
276,Female,9:21,57,54.5941065,17.8604786
277,Male,16:12,28,-6.6327752,106.2110311
278,Male,23:29,49,-7.1691828,108.0050384
279,Male,3:11,36,46.2519995,30.4372882
280,Male,13:11,70,-14.6554285,28.0888578
281,Female,21:25,85,14.8744012,120.8130073
282,Female,12:44,31,44.165829,-77.3956004
283,Female,7:21,87,-6.5978669,106.635025
284,Female,5:43,57,49.89042,18.2400902
285,Male,16:36,58,36.854929,114.503339
286,Male,3:54,61,34.15599,64.78566
287,Female,22:15,38,-6.5397069,110.8463512
288,Female,19:53,65,30.289195,110.224358
289,Female,20:47,45,29.866917,118.403786
290,Male,3:52,89,48.1173081,38.1648822
291,Female,12:26,88,12.6679167,123.9881642
292,Female,2:55,87,57.9901314,56.2090194
293,Female,3:44,81,-34.6636109,-56.2230875
294,Female,19:17,15,5.0308931,25.1325897
295,Female,6:09,45,29.229569,107.186194
296,Male,14:14,91,9.9399061,-65.1610557
297,Female,9:19,62,13.789644,100.5199643
298,Male,2:43,58,29.8626871,71.3099509
299,Male,14:21,15,2.3629945,34.2421597
300,Female,16:42,40,47.3591366,2.8002946
301,Male,22:58,43,40.0395689,65.9690392
302,Male,21:20,62,43.2916776,-0.3696612
303,Female,6:50,91,16.7909044,-62.2106241
