id,gender,military_time,age,latitude,longitude,location_danger
1,Female,21:05,32,45.588882,-70.903207,0.59
2,Female,14:23,28,34.9556581,135.272163,4.5
3,Female,15:56,38,38.7527042,-9.3330417,3.62
4,Male,6:12,74,46.215926,-63.0886099,0.8
5,Female,8:35,86,8.797145,-75.698571,4.56
6,Male,12:23,52,28.533752,100.270651,1.86
7,Male,10:42,89,47.1900322,102.8340449,1.43
8,Male,6:48,31,30.092022,121.936745,4.63
9,Male,0:43,51,32.9454027,-117.2399868,4.16
10,Male,6:40,23,48.7707356,2.0803619,4.13
11,Male,21:55,97,6.594633,125.400567,2.23
12,Female,20:42,28,-8.6182236,115.2276614,4.64
13,Female,18:00,12,29.859268,89.387008,4.76
14,Male,12:27,73,45.295075,130.969333,3.34
15,Male,18:11,10,53.0249087,23.0202458,0.65
16,Male,5:08,34,6.3203695,7.4083958,1.26
17,Female,8:54,24,59.3429221,18.0922798,4.37
18,Male,10:00,52,31.221597,121.409352,1.36
19,Female,6:56,64,39.871981,116.686439,4.36
20,Male,16:18,74,49.911732,20.8725617,3.4
21,Male,8:55,30,-8.5693726,118.6557911,1.98
22,Male,4:02,83,-6.2335134,107.1071,4.67
23,Female,8:52,15,28.043337,117.043407,1.54
24,Male,12:19,94,41.376241,19.7881955,2.58
25,Female,22:44,32,29.584292,111.380014,4.78
26,Male,23:46,77,50.7588162,17.8529769,1.28
27,Male,19:22,22,43.1043447,-88.0162724,3.17
28,Female,22:35,80,30.323586,120.195198,0.42
29,Male,12:06,97,48.1475145,37.297136,3.3
30,Male,14:26,84,14.5144041,121.0406718,0.23
31,Male,0:41,98,-8.1475732,112.718192,0.36
32,Female,1:05,70,45.4347317,-73.1728734,1.12
33,Female,19:00,12,38.6032329,-9.1057581,3.51
34,Female,23:06,65,45.8829678,19.9675163,1.3
35,Female,6:38,11,-6.7047889,111.6258282,4.67
36,Male,8:13,58,38.0162314,-8.6956768,4.43
37,Female,23:35,47,34.7478469,10.766163,0.26
38,Female,17:35,92,3.6618244,98.8114707,0.19
39,Male,14:30,13,34.9645166,-5.5663222,2.48
40,Male,21:45,33,40.8673649,20.3621596,1.91
41,Male,20:50,25,48.9479951,90.0133872,4.61
42,Female,8:36,15,13.3023013,123.6374208,2.56
43,Female,23:16,14,14.8288248,-86.5728785,0.37
44,Male,20:47,87,-0.931556,-78.60585,1.53
45,Male,6:45,68,12.8025919,45.0398942,3.82
46,Female,15:29,15,26.82808,114.835777,4.98
47,Female,11:05,15,32.060255,118.796877,2.1
48,Male,12:09,34,-3.1456879,-60.257396,0.48
49,Female,17:47,31,64.6789618,21.242165,1.06
50,Female,14:32,48,-7.0967,113.6588,0.05
