Date and TIme,Location,Age,Gender (1 is male)
2019-12-06 00:56:33,"18.71582, 165.03169",99,1
2019-07-07 19:36:28,"-73.15451, 156.46358",38,1
2019-05-16 23:34:59,"53.97788, -133.82429",68,1
2019-06-03 14:01:12,"-56.45052, 107.37469",28,0
2019-06-25 06:21:18,"61.60651, 68.85397",31,0
2020-05-23 12:29:35,"11.75197, -27.01386",33,1
2020-12-01 17:43:39,"2.26579, -63.28028",51,1
2021-01-14 00:14:50,"60.32205, 1.17537",76,1
2019-02-20 00:40:38,"-66.97166, 127.37307",36,1
2020-12-27 18:12:48,"-56.11274, -47.74031",16,0
2019-06-28 11:36:12,"-73.9112, 112.55242",48,1
2019-04-04 22:21:00,"83.78717, 123.28302",27,1
2020-07-19 08:17:36,"-76.81136, -56.14269",56,0
2019-03-27 06:58:11,"42.50736, -159.09791",60,0
2019-05-12 15:08:16,"-51.21364, -175.51415",69,1
2019-10-15 02:29:43,"-7.58288, 109.35956",89,1
2020-10-13 22:36:44,"-30.81998, -31.0468",93,1
2019-09-17 11:47:54,"-50.45035, 140.14942",44,1
2020-03-08 21:08:39,"63.51068, -96.7376",82,0
2019-04-21 23:37:20,"22.87413, 144.29461",60,1
2019-03-30 20:35:28,"-53.00211, 146.10084",71,1
2019-05-02 16:56:33,"27.4723, -15.11621",31,0
2020-10-03 00:05:04,"-14.24088, -167.671",45,0
2020-11-01 21:31:30,"69.28494, 36.85506",53,0
2019-02-16 20:23:59,"-67.53687, -159.9485",10,1
2020-12-16 06:05:32,"46.78025, -53.85203",67,1
2020-05-30 06:54:56,"65.2933, 23.02241",39,0
2020-03-18 15:56:09,"60.50955, -99.70816",63,0
2020-05-09 12:33:45,"28.52701, -48.76998",54,1
2020-03-18 12:59:12,"38.76711, -94.64026",56,1
2019-08-19 16:00:43,"-13.656, -58.58507",75,1
2020-01-06 08:13:24,"67.82684, 176.80867",59,0
2020-08-26 02:23:21,"2.39202, -5.0636",52,1
2020-02-14 05:29:50,"-6.68784, 45.53864",28,0
2020-06-11 05:05:17,"-68.50726, -22.59291",61,1
2020-03-23 03:17:56,"8.27857, -133.33646",64,1
2019-10-17 02:11:11,"89.25409, 52.4025",13,1
2020-06-29 17:30:13,"-65.09486, 163.61485",51,1
2019-05-16 06:32:02,"-0.45139, 99.917",27,0
2019-03-21 07:14:28,"-6.79751, -120.12371",95,0
2019-11-21 07:42:00,"-22.66062, 52.63986",53,0
2019-10-09 07:18:56,"16.96532, -166.12009",40,1
2019-11-16 11:54:47,"-31.89358, 6.90248",10,0
2020-12-07 13:03:06,"-69.59114, 161.75788",79,0
2020-10-08 16:23:00,"-36.8627, -22.10054",40,1
2019-02-08 16:23:26,"-8.03686, -27.55899",39,1
2019-12-02 05:50:25,"-29.02427, 170.66",43,1
2020-09-28 21:58:35,"49.84363, -106.47086",79,1
2019-05-31 23:26:30,"-25.06793, 97.45399",56,1
2020-11-26 17:58:51,"5.10667, 164.26867",55,0
2020-03-22 01:01:54,"63.98735, -25.42056",19,0
2019-05-05 07:52:53,"-54.95923, 18.26173",41,1
2019-07-21 02:12:47,"-39.2696, 33.28069",41,1
2020-10-12 15:11:55,"-29.41893, -97.49288",18,0
2020-07-31 14:58:05,"-8.87073, -99.83855",26,0
2019-04-21 11:29:03,"6.27776, -161.36559",53,0
2019-11-10 19:26:38,"-56.0413, 176.2463",44,0
2019-04-09 01:06:49,"-58.88555, -93.05069",61,1
2019-11-07 22:26:47,"44.33015, 55.44032",31,1
2020-03-17 16:13:44,"-76.8741, 67.81396",95,1
2020-07-05 10:55:21,"23.72552, -127.81969",41,0
2019-08-12 11:00:59,"-17.69218, 146.03022",48,1
2019-07-24 21:59:09,"55.01185, -30.28873",83,1
2019-11-22 00:34:23,"2.69675, -31.38898",54,0
2019-12-22 22:30:54,"-22.99741, 131.13859",68,0
2019-02-11 17:17:13,"-56.53319, 137.80609",86,1
2020-09-28 21:43:31,"-64.875, -86.54029",89,0
2020-08-18 00:27:13,"-34.26342, 78.82977",34,1
2020-06-26 22:28:28,"-54.83725, 168.66248",64,0
2019-11-22 19:01:17,"49.49991, 89.74618",11,0
2020-06-26 00:03:20,"-89.84179, 12.67939",13,1
2019-02-23 00:35:55,"80.76948, -83.51188",55,0
2019-09-09 02:28:13,"-49.12173, -17.55389",19,1
2019-12-29 22:43:40,"-76.57167, -173.26444",57,1
2020-02-25 13:28:16,"27.72982, 86.55947",61,0
2020-07-07 14:04:34,"-57.37148, -33.70964",55,0
2020-07-13 22:59:09,"-4.36418, 15.56733",94,1
2020-02-02 21:31:15,"47.87388, -32.39333",69,1
2020-03-20 22:52:59,"-24.9961, 29.7081",97,0
2020-06-04 23:49:17,"7.19911, 161.22598",42,0
2019-11-06 03:00:41,"-55.25664, -54.90685",39,1
2021-02-05 05:46:58,"-86.09736, -94.40537",12,0
2020-10-27 21:24:35,"88.28258, 53.99869",13,1
2019-03-15 10:53:02,"16.10091, 16.15545",15,0
2019-10-31 00:23:22,"-82.51496, 31.18873",18,1
2019-05-30 16:13:51,"-62.33818, -166.63603",47,1
2020-05-09 19:50:50,"-25.44841, 95.95992",74,1
2020-04-14 07:34:00,"-25.90829, 166.28561",18,1
2019-05-01 01:22:32,"-88.78952, -136.89691",70,0
2019-03-19 16:22:04,"-89.72826, -34.34079",31,0
2020-03-22 20:22:25,"-53.45678, -20.84743",30,0
2020-12-12 14:19:28,"-8.38765, -105.28679",24,0
2019-09-04 05:26:42,"-35.99281, 115.12803",87,0
2021-01-15 20:37:44,"20.90299, 140.50518",80,1
2019-04-29 13:16:44,"-73.99841, -35.02452",20,0
2019-09-21 12:09:50,"-81.82571, -5.42664",71,0
2020-11-07 18:13:09,"36.60597, -148.74028",64,1
2020-06-20 03:40:18,"11.5172, -157.63634",28,0
2019-03-09 05:42:28,"85.88607, -73.66718",87,0
2019-10-23 04:23:36,"-20.85951, 100.36345",13,0
